Ref,Pad,Net
J1,A1,GND
J1,A4,VBUS_5V
J1,A5,CC1
J1,A6,NC
J1,A7,NC
J1,A8,NC
J1,A9,VBUS_5V
J1,A12,GND
J1,B12,GND
J1,B9,VBUS_5V
J1,B8,NC
J1,B7,NC
J1,B6,NC
J1,B5,CC2
J1,B4,VBUS_5V
J1,B1,GND
J1,S1,GND
J1,S2,GND
F1,1,VBUS_5V
F1,2,VBUS_PROTECTED
D1,1,VBUS_PROTECTED
D1,2,GND
R1,1,CC1
R1,2,GND
R2,1,CC2
R2,2,GND
P1,1,VBUS_PROTECTED
P2,1,GND
P3,1,STAT
P4,1,WAKE_ID
LED1,1,GND
LED1,2,PWR_LED
R3,1,VBUS_PROTECTED
R3,2,PWR_LED
LED2,1,CHG_LED_A
LED2,2,STAT
R4,1,VBUS_PROTECTED
R4,2,CHG_LED_A
