Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,2.4GHz chip antenna,ANT_2450AT18B100E,35.8000mm,-15.7000mm,90.00,Top
C3,1uF,C_0402_1005Metric,22.1750mm,-3.2000mm,0.00,Top
C4,10uF 6.3V,C_0603_1608Metric,23.3125mm,-7.0000mm,90.00,Top
C5,10uF 6.3V,C_0603_1608Metric,27.9500mm,-6.9250mm,90.00,Top
C6,10uF 6.3V,C_0603_1608Metric,27.9500mm,-9.4750mm,90.00,Top
C7,47uF 6.3V,C_1206_3216Metric,24.0000mm,-11.7000mm,0.00,Top
C8,10uF,C_0603_1608Metric,29.8250mm,-9.9944mm,0.00,Top
C9,4.7uF,C_0603_1608Metric,32.2750mm,-9.9722mm,0.00,Top
C10,10uF,C_0603_1608Metric,7.0000mm,-12.5000mm,0.00,Top
C11,4.7uF,C_0603_1608Metric,12.5000mm,-11.5000mm,0.00,Top
C12,1uF,C_0402_1005Metric,10.9000mm,-15.5000mm,0.00,Top
C13,1uF,C_0402_1005Metric,15.1000mm,-15.5000mm,0.00,Top
C14,0.1uF,C_0402_1005Metric,22.0375mm,-5.5000mm,0.00,Top
C15,0.1uF,C_0402_1005Metric,16.0500mm,-14.0000mm,0.00,Top
C16,10uF,C_0603_1608Metric,18.7500mm,-14.0000mm,0.00,Top
C17,0.1uF,C_0402_1005Metric,22.7000mm,-9.2500mm,0.00,Top
J1,OV2640 24pin FPC,FPC_24P_0.5mm_Molex52437-2491,7.5000mm,-6.6194mm,180.00,Top
J2,USB-C power+USB2,CameraIoT_USB-C-16P,25.4883mm,-15.4000mm,0.00,Top
L1,1.5uH >=1.5A,IND_2520,25.7000mm,-5.2000mm,0.00,Top
L2,0R/DNP RF series,R_0402_1005Metric,32.7500mm,-15.7500mm,90.00,Top
LED1,Blue status LED,LED_0603_1608Metric,1.5375mm,-14.8000mm,0.00,Top
R1,20k 1%,R_0402_1005Metric,30.3000mm,-6.0000mm,0.00,Top
R3,1k,R_0402_1005Metric,3.5625mm,-14.8000mm,0.00,Top
R4,10k,R_0402_1005Metric,20.5750mm,-3.2000mm,0.00,Top
R5,10k,R_0402_1005Metric,6.2000mm,-11.0000mm,0.00,Top
R6,10k,R_0402_1005Metric,8.0500mm,-11.0000mm,0.00,Top
R7,10k,R_0402_1005Metric,21.0633mm,-13.8615mm,0.00,Top
R8,68k,R_0402_1005Metric,28.5000mm,-2.7000mm,0.00,Top
R9,100k,R_0402_1005Metric,30.1000mm,-2.7000mm,0.00,Top
R10,5.11k CC1,R_0402,22.4883mm,-16.3250mm,0.00,Top
R11,5.11k CC2,R_0402,24.0883mm,-16.3250mm,0.00,Top
SW1,Wake/Boot button,SW_2x1.6mm,3.4000mm,-3.2000mm,0.00,Top
U1,ESP32-S3-PICO-1-N8R8,LGA56_7x7mm_P0.4_PIN1TL,17.8484mm,-9.3894mm,0.00,Top
U2,3.3V buck-boost,VSON10_2.5x2.5_DSK,25.7000mm,-8.7000mm,0.00,Top
U3,LiPo charger 4.2V,SOT-23-5,30.3000mm,-8.0417mm,0.00,Top
U4,2.8V LDO,SOT-23-5,9.9500mm,-13.4500mm,0.00,Top
U5,1.3V LDO,SOT-23-5,13.0500mm,-14.5500mm,0.00,Top
