Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,5V TVS,SOD-523,20.0000mm,-6.8000mm,90.00,Top
F1,500mA PTC,Fuse_1206,15.0000mm,-9.0000mm,0.00,Top
J1,USB-C power+USB2,CameraIoT_USB-C-16P,5.7000mm,-9.0000mm,180.00,Top
LED1,Power LED,LED_0603,24.0000mm,-3.0000mm,0.00,Top
LED2,Charge LED,LED_0603,24.0000mm,-14.0000mm,0.00,Top
R1,5.1k,R_0402,14.5000mm,-3.0000mm,0.00,Top
R2,5.1k,R_0402,16.0000mm,-3.0000mm,0.00,Top
R3,2.2k,R_0402,22.8000mm,-3.0000mm,0.00,Top
R4,2.2k,R_0402,22.8000mm,-14.0000mm,0.00,Top
SW2,FLASH button,CameraIoT_SKRPACE010,43.0000mm,-4.2000mm,0.00,Top
SW3,RESET button,CameraIoT_SKRPACE010,50.0000mm,-4.2000mm,0.00,Top
